# ============================================================
# family_diagram.csv  -  가족 관계도 데이터
# ============================================================
#
# [컬럼 형식]
#   ID,Name,Gender,Age,ParentID,SpouseID,Memo
#
#   ID       : 각 구성원의 고유 번호 (1 이상의 정수)
#   Name     : 이름 (최대 16자, 공백·쉼표 금지)
#   Gender   : 성별  M = 남성 / F = 여성
#   Age      : 나이 (1 이상의 정수)
#   ParentID : 친부(親父)의 ID — 루트이거나 외부 합류자는 0
#   SpouseID : 배우자의 ID    — 배우자 없으면 0
#   Memo     : 간단한 메모 (선택, 쉼표 포함 금지)
#
# [작성 규칙]
#   - '#' 으로 시작하는 줄은 주석으로 파서가 무시합니다.
#   - 빈 줄도 무시됩니다.
#   - ParentID = 0  →  이 파일 안에 부모가 없음 (루트 or 외부 합류)
#   - SpouseID 는 한쪽에만 기재해도 됩니다 (양방향 중복 기재 불필요)
#   - 헤더 행(ID,Name,...) 은 반드시 포함되어야 합니다.
#
# [새 구성원 추가 방법]
#   1. 마지막 ID 에 +1 한 번호를 부여합니다.
#   2. 부모가 이 파일에 있으면 ParentID 에 해당 ID 를 입력합니다.
#   3. 결혼한 경우 SpouseID 에 배우자의 ID 를 입력합니다.
# ============================================================

ID,Name,Gender,Age,ParentID,SpouseID,Memo

# ── 5세대 : 증조부모 ──────────────────────────────────────────
1,김증조,M,95,0,2,증조할아버지
2,이증조,F,92,0,1,증조할머니

# ── 4세대 : 조부모 / 종조부 ───────────────────────────────────
3,김할배,M,75,1,4,할아버지
4,박할매,F,73,0,3,할머니
5,김종조,M,70,1,0,작은할아버지(종조부)

# ── 3세대 : 부모 / 백부 / 고모 / 5촌 당숙 ────────────────────
6,김큰아,M,52,3,7,큰아버지(백부)
7,최큰엄,F,50,0,6,큰어머니(백모)
8,김아빠,M,48,3,9,아버지
9,정엄마,F,46,0,8,어머니
10,김고모,F,45,3,0,고모
11,김당숙,M,45,5,0,5촌 당숙(종조부의 아들)

# ── 2세대 : 본인 세대 ─────────────────────────────────────────
12,김형,M,27,8,0,친형
13,김나,M,25,8,14,나(본인/기준점)
14,윤아내,F,25,0,13,아내
15,김동생,F,22,8,0,여동생
16,김사촌,M,26,6,0,사촌형(큰아버지의 아들)

# ── 1세대 : 자녀 세대 ─────────────────────────────────────────
17,김조카,M,5,12,0,조카(형의 아들)
18,김아들,M,2,13,0,아들
